Sitio;Carpincho;CiervoAxis;CorzuelaParda;GatoMontés;Jabalí;Mulitas;Ñandú;Zorros
1;1;1;0;0;0;0;0;2
2;5;17;1;0;0;0;0;0
3;0;15;0;0;0;0;0;0
4;27;22;0;0;0;0;0;7
5;11;51;1;0;0;0;0;0
6;4;5;0;0;0;0;0;0
7;86;69;0;13;7;1;0;1
8;70;62;0;2;0;11;1;7
9;1;5;0;0;0;0;0;0
10;238;119;0;5;0;10;0;40
11;1;5;1;0;0;0;1;0
12;190;110;0;0;5;5;18;13
13;216;168;11;4;17;56;2;17
14;1;2;0;0;0;0;0;0
15;0;41;0;0;0;0;0;0
16;58;161;6;6;9;22;0;12
17;0;12;3;0;0;0;4;0
18;24;52;1;1;6;4;21;2
19;0;17;0;0;2;0;0;0
20;0;5;0;0;0;0;0;0
21;4;56;2;0;27;17;0;1
22;0;2;0;0;0;0;0;0
23;0;20;5;0;0;1;1;2
24;40;163;15;11;6;6;1;9
25;0;0;0;0;0;0;0;0
26;0;41;1;0;0;5;60;5
27;14;32;0;0;6;1;38;6
TOTAL;991;1253;47;42;85;139;147;124
